song,singer,genre,album,userRating
"Joote Do, Paise Lo","Lata Mangeshkar, S.P. Balasubrahmanyam",Dance,Hum Apke Hain Koun,7.7/10
Dekha Ek Khwab,"Kishore Kumar, Lata Mangeshkar",Romantic,Silsila,8.6/10
Maa,Shankar Mahadevan,Sad,Taare Zameen Par,9.6/10
Jogi Mahi,"Himani Kapoor, Shekhar Ravjiani, Sukhwinder Singh",Dance,Bachna Ae Haseeno,9.4/10
Mat Ja Re,Ankit Tiwari,Dance,Tanu Weds Manu,9.3/10
Ooh La La,"Bappi Lahiri, Shreya Ghoshal",Dance,The Dirty Picture,8.8/10
Bhangda Pa,"Asees Kaur, Divya Kumar, Vishal Dadlani",Dance,A Flying Jatt,9.0/10
Jhoka Hawa Ka Aaj Bhi,"Hariharan, Kavita Krishnamurthy",Sad,Hum Dil De Chuke Sanam,9.1/10
Dhol Baaje,"Anjjan, Meet Bros, Monali Thakur",Dance,Ek Paheli Leela,9.0/10
Aaj Hai Sagaai,"Abhijeet, Alka Yagnik",Dance,Pyaar To Hona Hi Tha,8.2/10
Galat Baat Hai,"Javed Ali, Neeti Mohan",DanceRomantic,Main Tera Hero,8.8/10
Yeh Ladka Hai Deewana,"Alka Yagnik, Udit Narayan",Dance,Kuch Kuch Hota Hai,9.5/10
Des Rangila,Mahalaxmi Iyer,DancePatriotic,Fanaa,8.8/10
Roshni Se,"Abhijeet, Alka Yagnik",Romantic,Asoka,9.4/10
I Love You,"Ash King, Clinton Cerejo",Romantic,Bodyguard,9.4/10
O Janiya,Neha Kakkar,Dance,Force 2,9.2/10
Mehndi Laga Ke Rakhna,"Lata Mangeshkar, Udit Narayan",Dance,Dilwale Dulhania Le Jayenge,9.2/10
Gori Gori,"Anu Malik, K.K., Shreya Ghoshal, Sunidhi Chauhan",Dance,Main Hoon Na,9.4/10
Gori Gori Gori Gori,"Anu Malik, Shreya Ghosal, Sunidhi Chauhan",Romantic,Main Hoon Na,9.4/10
Bakhuda Tumhi Ho,"Alka Yagnik, Atif Aslam",Romantic,Kismat Konnection,9.6/10
Ishq Hai Ishq Hai,Jayshree Shivram,Sad,Ishq,8.6/10
Prem Mein Tohre,Asha Bhosle,Romantic,Begum Jaan,9.2/10
Halo Re,Aaman Trikha,Dance,Prem Ratan Dhan Payo,8.5/10
Jogiya,"Anuradha Paudwal, Sukhwinder Singh",Sad,Deewane,8.4/10
Aila Re Aila,Daler Mehndi,Dance,Khatta Meetha,9.3/10
Hum Saath-Saath Hain,"Alka Yagnik, Anuradha Paudwal, Hariharan, Kavita Krishnamurthy, Kumar Sanu, Udit Narayan",Dance,Hum Saath-Saath Hain,7.5/10
Enu Naam Che Raees,Tarannum Mallik,Dance,Raees,9.4/10
Woh Pehli Baar,Shaan,Romantic,Pyaar Mein Kabhi Kabhi,9.5/10
Piya Aaye Na,"K.K., Tulsi Kumar",Sad,Aashiqui 2,9.3/10
Aaj Hai Sagai,"Abhijeet, Alka Yagnik",Dance,Pyar Toh Hona Hi Tha,8.2/10
Rajj Rajj Ke,"Sonakshi Sinha, Vishal Dadlani",Motivational,Akira,8.9/10
Daawat e Ishq,"Javed Ali, Sunidhi Chauhan",Dance,Daawat e Ishq,9.4/10
Tera Mera Pyar Amar,Lata Mangeshkar,Romantic,Asli Naqli,9.0/10
Chookar Mere Man Ko,Kishore Kumar,Romantic,Yaarana,9.3/10
Chookar Mere Man Ko,Kishore Kumar,Romantic,Yaarana,9.3/10
Love Is A Waste Of Time,"Shreya Ghoshal, Sonu Nigam",Dance,PK,8.8/10
Zindagi To Bewafa Hai,Mohammed Rafi,Sad,Muqaddar Ka Sikandar,8.3/10
Jo Tumko Ho Pasand Wohi Baat Karenge,Mukesh,Romantic,Safar,8.6/10
Bebo,Alisha Chinai,Dance,Kambakkht Ishq,9.0/10
Tum Bin,K. S. Chithra,Romantic,Tum Bin,9.0/10
Chot Lage Tujhko – Sad,"Alka Yagnik, Udit Narayan",Sad,Raja,8.4/10
Tujhe Sochta Hoon,K.K.,RomanticSensual,Jannat 2,9.6/10
Apni To Jaise Taise,Kishore Kumar,Dance,Laawaris,8.4/10
Mast Kalandar,"Master Saleem, Rehan Khan, Sajid Khan",Dance,Heyy Baby,9.5/10
Dhoom 3 Mashup,,Dance,Dhoom 3,8.1/10
It’s Magic,Taz,Dance,Koi Mil Gaya,8.8/10
It’s Magic,Taz,Dance,Koi Mil Gaya,8.8/10
Jigar Da Tukda,"Salim Merchant, Shraddha Pandit",Dance,Ladies Vs Ricky Bahl,9.3/10
It’s the Time to Disco,"K.K., Loy Mendonsa, Shaan, Vasundhara Das",Dance,Kal Ho Naa Ho,9.4/10
Maar Daala,Kavita Krishnamurthy,Dance,Devdas,9.2/10
Tumhe Apna Banane Ka,"Armaan Malik, Neeti Mohan",Romantic,Hate Story 3,8.9/10
Ho Gaya Hai Tujhko To Pyar Sajna,"Lata Mangeshkar, Udit Narayan",Romantic,Dilwale Dulhania Le Jayenge,9.2/10
Suno Aisha,"Amit Trivedi, Ash King, Nakash Aziz",Dance,Aisha,9.4/10
Jee Ve Sohaneya,Nooran Sisters,Sad,Jab Harry Met Sejal,9.6/10
Hai Junoon,K.K.,Dance,New York,9.3/10
Kuch To Hai,Armaan Malik,Sad,Do Lafzon Ki Kahani,9.6/10
Ban Dance Mein Kutta,"Divya Kumar, Shivi, Uvie",Dance,3 Dev,8.2/10
Bhooli Bisri Ek Kahani,Anuradha Paudwal,Sad,Nagina,8.2/10
Milan Abhi Aadha Adhura,"Shreya Ghoshal, Udit Narayan",Romantic,Vivah,8.5/10
Ishqyaun Dhishyaun,Aditya Narayan,Romantic,Goliyon Ki Rasleela Ram-leela,9.3/10
Maahi Ve,"Richa Sharma, Sukhwinder Singh",DanceSad,Kaante,9.2/10
Rangdaari,"Arko, Navraj Hans",Sad,Daas Dev,9.4/10
Rangdaari,"Arko, Navraj Hans",Sad,Daas Dev,9.4/10
Ye Tune Kya Kiya,Javed Bashir,Romantic,Once Upon A Time In Mumbaai Dobara,9.5/10
Chak De India,"Marianne D'Cruz, Salim Merchant, Sukhwinder Singh",DanceMotivationalPatriotic,Chak De India,9.3/10
Saanwali Si Ek Ladki,Udit Narayan,Romantic,Mujhse Dosti Karoge!,9.2/10
Dil Se Nikal Kar Dil Ko Gayee Hain,"Anuradha Paudwal, Suresh Wadkar",Dance,Nigahen,7.6/10
Dhak Dhak Karne Laga,"Anuradha Paudwal, Udit Narayan",Romantic,Beta,8.7/10
Kabhi Jo Badal Barse,Arijit Singh,Romantic,Jackpot,9.1/10
Bhar Do Jholi Meri,Adnan Sami,Devotional,Bajrangi Bhaijaan,9.2/10
Give Me Some Sunshine,"Sharman Joshi, Suraj Jagan",Sad,3 Idiots,9.6/10
Dil Leke,"Shaan, Shreya Ghoshal",DanceRomantic,Wanted,9.2/10
Yeh Mera Diwanapan Hai,Mukesh,Sad,Yahudi,9.2/10
O Jaana,"Alka Yagnik, K.K., Kamaal khan, Udit Narayan",DanceRomantic,Tere Naam,8.9/10
Love Mashup 2016 (Kiran Kamath),Multiple,Romantic,Single,9.6/10
Abhagi Piya Ki,"Ahmed Hussain, Kanika Kapoor, Mohammed. Hussain, Raja Hasan",Sad,Tera Intezaar,9.3/10
Rang Laal,"Aditi Singh Sharma, Dev Negi, John Abraham",Dance,Force 2,9.4/10
Bas Tu Hai,"Arijit Singh, Jonita Gandhi",RomanticSad,3 Storeys,9.2/10
Tanhaiyaan,Amit Mishra,Sad,Aksar 2,8.6/10
Jaane Kyun,Vishal Dadlani,Dance,Dostana,9.5/10
Dagabaaz Re,"Rahat Fateh Ali Khan, Shreya Ghoshal",Romantic,Dabangg 2,8.8/10
Jane Kyun,"Alka Yagnik, Udit Narayan",Romantic,Dil Chahta Hai,9.5/10
Khuli Falak Mein,Mohammed Rafi,Romantic,Professor,8.3/10
Sajna Mein Teri Tu Mera,"Anuradha Paudwal, Vipin Sachdeva",Romantic,Beta,8.8/10
Zindagi Do Pal Ki,K.K.,Romantic,Kites,9.4/10
Tauba Yeh Matwali Chaal,Mukesh,Dance,Pathar Ke Sanam,7.9/10
Main Hoon Hero Tera,Armaan Malik,Romantic,Hero,9.6/10
Daata Tu,Shreya Ghoshal,Motivational,Tiger Zinda Hai,9.2/10
Saathiya Nahi Jaana,"Lata Mangeshkar, Mohammed Rafi",RomanticSad,Aya Sawan Jhoom Ke,8.3/10
Ishq Hua,"Shreya Ghoshal, Sonu Nigam",Romantic,Aaja Nachle,9.4/10
Bloody Hell,Sunidhi Chauhan,Dance,Rangoon,9.2/10
Dil Se Re,"A.R. Rahman, Anupama Deshpande, Anuradha Sriram",Romantic,Dil Se,9.5/10
Phatte Tak Nachna,Sunidhi Chauhan,Dance,Dolly Ki Doli,9.3/10
Meer-E-Kaarwan,"Amit Mishra, Neeti Mohan",Sad,Lucknow Central,9.4/10
Raat Ka Nasha,K. S. Chithra,Dance,Ashoka,9.4/10
Maa Da Laadla,Master Saleem,Dance,Dostana,9.4/10
O Re Piya,Rahat Fateh Ali Khan,Sad,Aaja Nachle,9.3/10
Jhanjariya Meri Chanak,Alka Yagnik,Dance,Krishna,8.9/10
Pareshaan,Shalmali Kholgade,Romantic,Ishaqzaade,9.4/10
Paisa Paisa,"Manak-E, RDB, Selina",Dance,De Dana Dan,9.1/10
Mere Haath Mein,"Sonu Nigam, Sunidhi Chauhan",Romantic,Fanaa,9.4/10
Do Lafzon Ki Hai Dil Ki Kahani,"Amitabh Bachchan, Asha Bhosle, Sharad Kumar",Dance,The Great Gambler,9.1/10
Ishq Sufiyana (Male),Kamal Khan,Romantic,The Dirty Picture,9.3/10
Meri Maa,K.K.,Sad,Yaariyan,9.6/10
Zindagi Tujhse Kya Karen Shikvey,Amit Mishra,Sad,Zindagi Yeh Zindagi,9.4/10
Dance Pe Chance,"Labh Janjua, Sunidhi Chauhan",Dance,Rab Ne Bana Di Jodi,9.1/10
Tu Hi Hai,Armaan Malik,Romantic,Jagga Jasoos,9.4/10
Gehra Ishq,Shekhar Ravjiani,Romantic,Neerja,9.7/10
Love Me Love Me,"Amrita Kak, Wajid",Dance,Wanted,9.1/10
Saajna,Falak Shabir,Romantic,I Me Aur Main,9.6/10
Tere Ho Ke Rahenge,Arijit Singh,Romantic,Raja Natwarlal,9.5/10
Sai Baba Bolo (Album Version),"Anup Jalota, Anuradha Paudwal, Jani Baboo, Mohammed Rafi",Devotional,Shirdi Ke Sai Baba,8.7/10
Khudaya Ve Ishq Hai Kaisa,Salim Merchant,Sad,Luck,9.5/10
Pardesi Pardesi,"Bela, Suresh Wadkar",Sad,Raja Hindustani,8.6/10
Gulabi,"Jigar Saraiya, Priya Saraiya",Dance,Shuddh Desi Romance,9.5/10
Dus Bahane,"K.K., Shaan",Dance,Dus,9.5/10
Main Agar Kahoon,"Shreya Ghoshal, Sonu Nigam",Romantic,Om Shanti Om,9.6/10
Main Aisa Kyun Hoon,Shaan,Dance,Lakshya,9.7/10
Main Aisa Kyon Hoon,Shaan,Dance,Lakshay,9.7/10
Mein Chali Mein Chali,"Lata Mangeshkar, Mohammed Rafi",Romantic,Professor,8.6/10
Sharabi,"Nindy Kaur, Shekhar Ravjiani, Vishal Dadlani",Dance,Happy New Year,9.3/10
Labon Ka Karobaar,Papon,Romantic,Befikre,7.0/10
Main Kya Karoon,Nikhil Paul George,Dance,Barfi,9.6/10
Sawan Ka Mahina,"Lata Mangeshkar, Mukesh",Romantic,Milan,8.8/10
Taang Uthake,"Mamta Sharma, Mika Singh, Neeti Mohan, Sohail Sen",Dance,Housefull 3,9.0/10
Hamari Shaadi Mein,"Babul Supriyo, Shreya Ghoshal",Dance,Vivah,7.9/10
Ishq Risk,Rahat Fateh Ali Khan,Romantic,Mere Brother Ki Dulhan,9.4/10
Dil Vich Lagya,"Akriti Kakar, Kunal Ganjawala, Sonu Nigam",Dance,Chup Chup Ke,8.9/10
Khalbali,"A.R. Rahman, Mohammed Aslam, Nacim",Dance,Rang De Basanti,9.6/10
Safarnama,Lucky Ali,Dance,Tamasha,9.5/10
My Dil Goes Mmmm,"Gayatri Iyer, Shaan",Romantic,Salaam Namaste,9.4/10
Tu Hi Meri Shab Hai,K.K.,Romantic,Gangster,9.4/10
Koi Ladki Hai,"Lata Mangeshkar, Udit Narayan",Dance,Dil To Pagal Hai,8.9/10
Bheege Hont Tere,Kunal Ganjawala,RomanticSensual,Murder,8.1/10
Mere Samne Wali Khidki Mein,Kishore Kumar,DanceRomantic,Padosan,9.5/10
Is Mod Se Jaate Hain,"Kishore Kumar, Lata Mangeshkar",Romantic,Aandhi,9.0/10
Chandni O Meri Chandni,YRF,Dance,Chandni,8.9/10
Mere Khwabon Mein,Lata Mangeshkar,Romantic,Dilwale Dulhania Le Jayenge,9.2/10
Rock N Roll Soniye,"Mahalakshmi Iyer, Shaan, Shankar Ehsaan Loy, Shankar Mahadevan",Dance,Kabhi Alvida Naa Kehna,9.4/10
Keeda,"Himesh Reshammiya, Neeti Mohan",Dance,Action Jackson,8.7/10
Abhi Kuch Dino Se,Mohit Chauhan,Dance,Dil Toh Bachha Hai,9.6/10
Dheere Dheere (Remix),Yo Yo Honey Singh,Dance,Dheere Dheere,8.9/10
Dil Ne Ye Kaha Hai Dil Se,"Alka Yagnik, Sonu Nigam",RomanticSad,Dhadkan,9.0/10
Mohabbat Hai Kya Cheez,"Lata Mangeshkar, Suresh Wadkar",Romantic,Prem Rog,7.6/10
Soldier Soldier Meethi Baaten,"Alka Yagnik, Kumar Sanu",Dance,Soldier,9.0/10
Tum Bin,Shreya Ghoshal,Sad,Sanam Re,9.5/10
Tum Ho Mera Pyar,"K.K., Suzanne D'Mello",Romantic,Haunted,9.4/10
Dard Dilo Ke  (Reprise),Mohammed Irfan,Dance,The Xpose,8.7/10
Shirdi Wale Sai Baba,Mohammed Rafi,Devotional,Amar Akbar Anthony,8.8/10
Na Jane Kahan Se,"Amit Kumar, Kavita Krishnamurthy",Dance,Chaalbaaz,8.9/10
Bol Beliya,"Siddharth Mahadevan, Sunidhi Chauhan",Dance,Kill Dil,9.1/10
Jee Karda,"Labh Janjua, Suzanne D'Mello",Dance,Singh Is Kinng,9.3/10
Tum Bin,Ankit Tiwari,Sad,Tum Bin 2,9.4/10
Aadat,"Jubin Nautiyal, Raftaar, Shirley Setia",Romantic,Passengers,9.5/10
Tere Liye,Ankit Tiwari,Romantic,Sanam Re,9.5/10
Mera Rang De Basanti,"Manmohan Waris, Sonu Nigam",Patriotic,The Legend Of Bhagat Singh,9.5/10
Hum Tumhare Hain Sanam,"Anuradha Paudwal, Udit Narayan",Romantic,Hum Tumhare Hain Sanam,8.7/10
Nain Phisal Gaye,Payal Dev,Romantic,Welcome To New York,9.4/10
Boond Boond,Ankit Tiwari,Sad,Roy,9.4/10
Bipasha,"Shadab Faridi, Shraddha Pandit",Dance,Jodi Breakers,9.2/10
Dhoom Tana,"Abhijeet, Shreya Ghoshal",Dance,Om Shanti Om,9.4/10
Tu Hi Mera,Shafqat Amanat Ali,Romantic,Jannat 2,9.5/10
A B C D E F G H,"Hariharan, Shankar Mahadevan, Udit Narayan",Dance,Hum Saath-Saath Hain,7.9/10
Moh Moh Ke Dhaage,"Monali Thakur, Papon",Sad,Dum Laga Ke Haisha,9.4/10
ABCD Yaariyan,"Benny Dayal, Shefali Alvares",Dance,Yaariyan,9.3/10
Hona Tha Pyar,"Atif Aslam, Hadiqa Kiani",Romantic,Bol,9.6/10
ABCD,"Benny Dayal, Shefali Alvares, Yo Yo Honey Singh",Dance,Yaariyan,9.3/10
Kaise Mujhe,Benny Dayal,Romantic,Ghajini,9.6/10
Whats Up,"Jasleen Royal, Mika Singh",Dance,Phillauri,8.9/10
Masakali,Mohit Chauhan,Dance,Delhi-6,9.5/10
Tumhe Jo maine Dekha,Abhijeet,Dance,Main Hoon Na,9.5/10
Gal Ban Gayi (Remix),"Meet Bros, Neha Kakkar, Sukhbir, Yo Yo Honey Singh",Dance,Gal Ban Gayi,8.9/10
Koyal Si Teri Boli,"Anuradha Paudwal, Udit Narayan",Dance,Beta,8.1/10
Hum Lakh Chupaye,"Asha Bhosle, Kumar Sanu",Romantic,Jaan Tere Naam,8.6/10
Ek Villain,Multiple,Dance,Ek Villain,9.5/10
Tujhe Dekhti Hai Nazar,Mohd. Irfan,Romantic,Nanu Ki Jaanu,9.5/10
Beedi,"Clinton Cerejo, Nachiketa, Sukhwinder Singh, Sunidhi Chauhan",Dance,Omkara,9.3/10
Chori Chori Dil Le Gaya,"Hema Sardesai, Sukhwinder Singh",Dance,Garam Masala,9.1/10
Raasleela,Sumedha Karmahe,Dance,3 Storeys,9.3/10
Dum Maaro Dum,Anushka Manchanda,Dance,Dum Maaro Dum,9.2/10
Kudiyan Sehar Diyan,"Alka Yagnik, Daler Mehndi",Dance,Arjun Pandit,8.6/10
Dhunki,Neha Bhasin,Dance,Mere Brother Ki Dulhan,9.4/10
Tera Deedar Hua,Rahat Fateh Ali Khan,Romantic,Jannat 2,9.5/10
Salaam India,"Salim Merchant, Vishal Dadlani",MotivationalPatriotic,Mary Kom,9.6/10
Hum Ko Maaloom Hain,"Sadhana Sargam, Sonu Nigam",Romantic,Jaan-E-Mann,9.5/10
Bodyguard,"Band of Power, Salman Khan",Dance,Bodyguard,9.1/10
Pyaara Bhaiya Mera,"Alka Yagnik, Kumar Sanu",Dance,Kya Kehna,8.6/10
Chahoon Bhi,"Bombay Jayashri, Karthik",Romantic,Force,9.5/10
Babul Pyare,Lata Mangeshkar,Dance,Johny Mera Naam,7.5/10
Bade Miyan Chote Miyan,"Sudesh Bhosle, Udit Narayan",Dance,Bade Miyan Chote Miyan,8.9/10
Albela Sajan,"Kanika Joshi, Kunal Pandit, Prithvi Gandharva, Rashi Raagga, Shashi Suman",Dance,Bajirao Mastani,9.5/10
Nahin Saamne Tu,"Hariharan, Sukhwinder Singh",Romantic,Taal,9.5/10
Goron Ki Na Kalon Ki,"Suresh Wadkar, Usha Mangeshkar",Dance,Disco Dancer,9.0/10
Gum Hai Kisi Ke Pyar Mein,"Kishore Kumar, Lata Mangeshkar",Romantic,Raampur Ka Lakshman,9.2/10
Tu Mere Agal Bagal Hai,Mika,Dance,Phata Poster Nikhla Hero,9.0/10
Aashiyan,"Nikhil Paul George, Shreya Ghoshal",Dance,Barfi,9.6/10
Pyar Ka Anjaam,"Alka Yagnik, Kumar Sanu, Sapna Mukherjee",Romantic,Bewafaa,8.7/10
Ay Hairathe,"A.R. Rahman, Alka Yagnik, Hariharan, Mohammed Aslam",Romantic,Guru,9.5/10
Hip Hop Pammi,"Mika Singh, Monali Thakur",Dance,Ramaiya Vastavaiya,9.4/10
Jab Se Mere Naina,Shaan,DanceRomantic,Saawariya,9.6/10
Race Saanson Ki,"Neeraj, Sunidhi Chauhan",Dance,Race,9.3/10
Tu Chale Toh,Papon,Romantic,Qarib Qarib Singlle,8.9/10
Chori Chori Chupke Chupke,"Shreya Ghosal, Udit Narayan",DanceRomantic,Krrish,9.0/10
Pairon Mein Bandhan Hai,"Manohar Shetty, Preetha Mazumdar, Sonali Bhatawdekar, Udbhav",Dance,Mohabbatein,9.2/10
Tum Par Hum Hai Atke Yaara,"Kavita Krishnamurthy, Kumar Sanu",Dance,Pyaar Kiya To Darna Kya,8.8/10
So Gaya Yeh Jahan,"Alka Yagnik, Nitin Mukesh, Shabbir Kumar",Dance,Tezaab,8.7/10
Wo Ladki Jo Sabse,Abhijeet,Dance,Baadshah,9.4/10
Sara Zamana,Kishore Kumar,Dance,Yaarana,8.9/10
Aur Is Dil Mein,"Asha Bhosle, Suresh Wadkar",Sad,Imaandaar,9.0/10
Mujhse Shaadi Karogi,"Sonu Nigam, Sunidhi Chauhan, Udit Narayan",Dance,Mujhse Shaadi Karogi,9.2/10
Challa,"Babbu Maan, Suzanne D'Mello",Dance,Crook,9.3/10
Tu Hi Toh Meri Dost Hai,"A.R. Rahman, Benny Dayal, Shreya Ghoshal",Dance,Yuvvraaj,9.6/10
Maa Sheranwali,Shabbir Kumar,Devotional,Coolie,7.6/10
Kuch Din,Jubin Nautiyal,Romantic,Kaabil,9.3/10
Tu Na Ja Mere Badshah,"Alka Yagnik, Mohammad Aziz",Sad,Khuda Gawah,8.4/10
Rani Tu Mein Raja (,"Bhavya Pandit, Mika Singh, Yo Yo Honey Singh",Dance,Son of Sardaar,8.3/10
Rani Tu Mein Raja (,"Bhavya Pandit, Mika Singh, Yo Yo Honey Singh",Dance,Son of Sardaar,8.3/10
Bholi Si Surat,"Lata Mangeshkar, Udit Narayan",Romantic,Dil To Pagal Hai,9.3/10
Tere Naina,"Shaan, Shreya Ghoshal",Romantic,Jai Ho,9.2/10
O Rangrez,Divya Kumar,Romantic,Bhaag Milkha Bhaag,9.6/10
Jise Dekh Mera Dil Dhadke,Kumar Sanu,Romantic,Phool Aur Kaante,8.5/10
Tumko To Aana Hi Tha,"Armaan Malik, Marianne D'Cruz",Romantic,Jai Ho,9.5/10
Khwaab Ho Tum Ya Koi,Kishore Kumar,Romantic,Teen Deviyan,9.4/10
Chor Bazari,Neeraj Shridhar,Dance,Love Aj Kal,9.3/10
Saanson Ne,"Sonu Nigam, Tulsi Kumar",Romantic,Dabangg 2,9.0/10
Mr. Lova Lova,"Abhijeet, Kavita Krishnamurthy, Sudesh Bhosle, Udit Narayan, Vibha Sharma",Dance,Ishq,9.1/10
Ladka Yeh Kehta Hai,K.K.,Dance,Main Prem Ki Diwani Hoon,9.1/10
Tum Dil Ki Dhadkan Mein,"Abhijeet, Alka Yagnik, Kumar Sanu",Romantic,Dhadkan,9.0/10
Halla Re,"Salim Merchant, Shweta Pandit",Dance,Neal 'n' Nikki,9.1/10
Tu Bhoola Jise,K.K.,Patriotic,Airlift,9.7/10
Teri Yaad,"Badshah, Himesh Reshammiya",Sad,Teraa Surroor,9.0/10
Tum Saanson Mein,"Himesh Reshammiya, Tulsi Kumar",Romantic,Humko Deewana Kar Gaye,9.0/10
Yeh Jo Des Hai Tera,A.R. Rahman,Patriotic,Swades,9.6/10
Jab Tak Hai Jaan,Shakthi Sree Gopalan,Romantic,Jab Tak Hai Jaan,9.7/10
Teri Yaad Aati Hai,"Lata Mangeshkar, Suresh Wadkar",Sad,Saudagar,8.0/10
Jee Le Zaraa,Vishal Dadlani,Romantic,Talaash,9.4/10
Bekarar Karke Hume,Hemant Kumar,Romantic,Bees Saal Baad,9.5/10
Chichora Piya,"Himesh Reshammiya, Shalmali Kholgade",Dance,Action Jackson,8.7/10
Soniye Ve – Dhak Dhak Dhak,"Sonu Nigam, Sunidhi Chauhan",Dance,Kismat Konnection,9.4/10
Tere Bin,Atif Aslam,Sad,Bas Ek Pal,9.6/10
Phir Mohabbat,"Arijit Singh, Mohammed Irfan, Saim Bhat",RomanticSad,Murder 2,8.3/10
O Heeriye,Ayushman Khurana,Romance,Bewakoofiyan,9.6/10
O Heeriye,Ayushman Khurana,Sad,Bewakoofiyaan,9.6/10
Hummein Tummein Jo Tha,"Palak Muchhal, Papon",Sad,Raaz Reboot,9.2/10
Dil Chura Le,"Alka Yagnik, Kumar Sanu",Romantic,Dil Ka Rishta,9.0/10
Kaun Hai Jo Sapnon Mein Aaya,Mohammed Rafi,Romantic,Jhuk Gaya Aasman,9.2/10
Mar Jaawan Mit Jaawan,"Abhijeet Sawant, Sunidhi Chauhan",Dance,Aashiq Banaya Aapne,9.0/10
Mar Jaawan Mit Jaawan,"Abhijeet Sawant, Sunidhi Chauhan",Dance,Aashiq Banaya Aapne,9.0/10
Jhuki Jhuki Si Nazar,Jagjit Singh,Sad,Arth,9.3/10
Zor Ka Jhatka,"Daler Mehndi, Master Saleem, Richa Sharma",Dance,Action Replayy,9.4/10
I Am A Disco Dancer,Bappi Lahiri,Dance,Disco Dancer,8.7/10
Sufi Salam,Rahat Fateh Ali Khan,Romantic,Tishnagi,9.2/10
Ishq Samundar,"Himesh Reshammiya, Kanika Kapoor",Dance,Teraa Surroor,8.9/10
Na Na Karte Pyar,Alka Yagnik,DanceRomantic,Dhadkan,8.8/10
Tu Rootha Dil Toota,Kishore Kumar,Sad,Yaarana,8.7/10
Katra Katra,"Ankit Tiwari, Prakriti Kakar",Romantic,Alone,9.0/10
Yaara O Yaara,"Lata Mangeshkar, Suresh Wadkar",Sad,Ram Teri Ganga Maili,8.4/10
Let’s Celebrate,Imran Khan,Dance,Tevar,9.5/10
Alfazon Ki Tarah (Unplugged),"Ankit Tiwari, John Abraham, Shreya Ghoshal",Sad,Rocky Handsome,9.5/10
Jaane Dil Mein,"Lata Mangeshkar, Sonu Nigam",Romantic,Mujhse Dosti Karoge!,9.1/10
Trippy,"Himesh Reshammiya, Neha Kakkar",Dance,Aap Se Mausiiquii,8.8/10
Dil Jaane Na,"Mohit Chauhan, Neeti Mohan",Romantic,Dil Juunglee,8.6/10
Da Da Dasse,"Babu Haabi, Kanika Kapoor",Dance,Udta Punjab,9.4/10
O Re Kaharo,"Altamash Faridi, Kalpana Patowary",Sad,Begum Jaan,9.2/10
Ramaiya Vatsavaiya,"Lata Mangeshkar, Mohammed Rafi, Mukesh",Dance,Shree 420,8.6/10
Fashion Khatam Mujhpe,"Mamta Sharma, Shabab Sabri, Wajid",Dance,Dolly Ki Doli,9.0/10
Kya Dekhte Ho Surat Tumhari,"Asha Bhosle, Mohammed Rafi",Romantic,Qurbani,8.9/10
Kudiye Di Kurti,"Neuman Pinto, Shazneen Arethna, Shreya Ghoshal, Sonu Nigam",Dance,Ishkq In Paris,9.1/10
Beat Juunglee,"Armaan Malik, Prakriti Kakkar",Dance,Dil Juunglee,9.6/10
Ya Rabba,Kailash Kher,Sad,Salaam-E-Ishq,9.4/10
Khwab Dekhe Sexy Lady,"Monali Thakur, Neeraj Shridhar",Dance,Race,9.5/10
Aahun Aahun,"Ashish Pandit, Jaspreet Singh, Master Saleem, Suzanne D'Mello",Dance,Love Ajkal,9.3/10
Aahun Aahun,"Ashish Pandit, Master Saleem, Suzanne D'Mello",Dance,Love Aj Kal,9.3/10
Dil Dance Maare,"Sukhwinder Singh, Sunidhi Chauhan, Udit Narayan",Dance,Tashan,9.1/10
Kitni Baatein,"Hariharan, Sadhana Sargam, Shankar Ehsaan Loy",Sad,Lakshya,9.7/10
Kitni Baatein,"Hariharan, Sadhana Sargam",Sad,Lakshay,9.7/10
Char Baj Gaye (Party Abhi Baaki Hai),Hard Kaur,Dance,F.A.L.T.U,9.5/10
Aa Gaya Aa Gaya,Udit Narayan,Dance,Hum Tumhare Hain Sanam,8.1/10
Chand Sitare,Kumar Sanu,Romantic,Kaho Naa.... Pyaar Hai,9.3/10
Bhanware Ne Khilaya Phool,"Lata Mangeshkar, Suresh Wadkar",Dance,Prem Rog,7.5/10
O Piya O Piya,"Sadhana Sargam, Sukhwinder Singh",Romantic,Jis Desh Mein Ganga Rehta Hai,8.6/10
Dekha Tujhe Toh,"Alka Yagnik, Kumar Sanu",Romantic,Devdas,8.6/10
Engine Ki Seeti,"Resmi Sateesh, Sunidhi Chauhan",Dance,Khoobsurat,9.2/10
Yeh Jawaani Hai Deewani (Mashup),"Arijit Singh, Mohit Chauhan",Dance,Yeh Jawaani Hai Deewani,9.5/10
Main Heroine Hoon,Aditi Singh Sharma,Dance,Heroine,9.1/10
Punjabi Mast,"Alamgir Khan, Ankit Tiwari, Arya Acharya, Himesh Reshammiya, Vineet Singh",Dance,Action Jackson,8.9/10
Mere Hathon Mein Nau Nau,Lata Mangeshkar,Dance,Chandni,8.4/10
Heer,"Arijit Singh, Harshdeep Kaur",Dance,Yeh Jawaani Hai Deewani,9.4/10
Mere Bina,Nikhil Dsouza,Romantic,Crook,9.6/10
Ishq Chupta Nahi Chupane Se,Abhijeet,Sad,Bewaffa,8.9/10
